step,r_position_x,r_position_y,r_position_z,r_orientation_x,r_orientation_y,r_orientation_z,r_orientation_w,l_position_x,l_position_y,l_position_z,l_orientation_x,l_orientation_y,l_orientation_z,l_orientation_w,direction,gripper
1,0.5528569979,0.0051656945,0.4038051773,-0.9999764785,-0.0034487938,0.0057109977,0.0015914476,0.7504916355,0.166563492,0.0502647556,-0.9999764785,-0.0014599908,0.0001691321,0.0016922157,left,open
2,0.5528792605,0.0055421086,0.4050651086,-0.999994874,-0.0025939338,0.0018393981,0.0003741851,0.7495080924,0.0240954643,0.0504967413,-0.999994874,0.0036871616,-0.0046782511,0.0009812815,left,open
3,0.5527283087,0.0052892222,0.404932454,0.999992231,0.0035374478,-0.0017213358,0.0002479303,0.7489790713,0.0236831734,0.223164544,0.999992231,0.0069744872,-0.0004873516,0.001196177,left,open
4,0.5055946599,-0.0416169475,0.4953460179,0.999995823,0.0027460361,-0.0009018008,8.22488746579614E-06,0.7491175908,0.0239259917,0.223448866,0.999995823,0.0119190818,0.0044803372,0.002850849,right,open
5,0.5054605254,-0.0416875349,0.4953217562,-0.4794441071,-0.8775711887,0.0004480506,0.0013986107,0.7494694826,0.0239193456,0.2224731944,-0.4794441071,0.012252195,0.0043155542,0.0028473222,right,open
6,0.5048033686,-0.0418288708,0.4949381912,-0.4816198388,-0.8763727923,-0.0035084242,0.0008664234,0.65447187,-0.0622004365,0.2229007568,-0.4816198388,0.0033450557,0.0027659136,0.0049477793,left,w_r_o_l_c
7,0.5527091986,0.0057411531,0.4037179903,-0.9999729355,-0.0067742387,0.0018682345,0.0021788974,0.6376464581,0.2689100425,0.0321283393,-0.9999729355,0.0066324996,0.0039937175,0.0146855832,left,open
8,0.5521331575,0.0055591747,0.4037279961,-0.9999641036,-0.0074433712,0.0005974985,0.0040038501,0.6434216728,0.2533202157,0.4815396705,-0.9999641036,0.0018583676,0.0063189311,0.0182600021,left,open
9,0.5522701727,0.0055707128,0.4044054123,-0.9999745233,-0.0027048448,0.0029060628,0.005932237,0.6414898178,0.2499864798,0.479215442,-0.9999745233,0.7838542158,-0.002270287,0.0060280488,left,open
10,0.554460398,-0.2207790355,0.4022052525,-0.9999706113,-0.0047885206,0.0049831594,0.0033188324,0.6504592914,0.0154845467,-0.1789855024,-0.9999706113,-0.0189269074,0.0038831035,0.0082584604,right,open
11,0.5541952855,-0.2200976959,0.4019289817,-0.9684465963,-0.0006290798,0.0081275217,0.2490878114,0.6463494397,0.0168285589,-0.1786741965,-0.9684465963,0.0012314824,0.0081105449,0.0157131517,right,open
12,0.5290044662,-0.2075451252,0.1178157069,-0.9683296702,0.0029224958,0.0051035272,0.2496058151,0.6455759881,0.0132683737,-0.1786242443,-0.9683296702,-0.0206182651,0.0211974815,0.0129816076,right,open
13,0.529816228,-0.2081175167,0.1187379646,-0.7707564972,0.0041803198,0.0023534768,0.6371117705,0.6453267768,0.0124073097,-0.1783069431,-0.7707564972,-0.0211908087,0.0210603408,0.0130356603,right,open
14,0.528829694,-0.2072786629,0.1182285178,-0.7048587956,0.0041555376,0.0030951159,0.7093287179,0.6456825342,0.0130419988,-0.1784545541,-0.7048587956,-0.0201589893,0.0210722069,0.0134404097,right,open
15,0.527022237,0.1274719842,0.1219623386,-0.7039837307,-1.58595514227813E-05,0.0031763448,0.7102089956,0.5785733549,0.2988029843,0.1310401544,-0.7039837307,0.0196806225,0.0431286082,0.7166848102,right,open
16,0.5311590204,0.1255967222,0.1230478557,-0.486299427,0.5116932154,0.5106488081,0.4908367501,0.6355943754,0.3043982679,0.3792002942,-0.486299427,-0.0573484958,0.0362913805,0.3690353621,right,open
17,0.5189491798,0.1250818048,-0.1772217644,-0.4844840276,0.5151126855,0.5067246589,0.4931168912,0.6420671069,0.2504299639,0.4776264664,-0.4844840276,-0.609835555,0.0112328762,0.0018056651,right,open
1,0.5550598051,0.240811371,-0.1708970766,-0.4810749916,0.5269771537,0.5058585546,0.4847360669,0.6391635308,0.2491426422,0.4817096564,-0.4810749916,0.9773406239,0.0094933783,0.0168515347,left,open
1,0.5204287125,0.2658856792,-0.1769228461,-0.4898748716,0.5139538095,0.5026968656,0.4931226553,0.6373220667,0.2499156913,0.481414167,-0.4898748716,0.8886674866,-0.017278312,0.0011954856,right,open
1,0.5552069632,0.2656075081,-0.1782587835,-0.4892622081,0.5143175991,0.5028802778,0.4931646025,0.6372669698,0.2501409836,0.4813801832,-0.4892622081,0.8888426833,-0.0167605614,0.0013533187,right,open
