step,r_position_x,r_position_y,r_position_z,r_orientation_x,r_orientation_y,r_orientation_z,r_orientation_w,l_position_x,l_position_y,l_position_z,l_orientation_x,l_orientation_y,l_orientation_z,l_orientation_w,direction,gripper
1,0.554460398,-0.2207790355,0.4022052525,-0.9999706113,-0.0047885206,0.0049831594,0.0033188324,0.6504592914,0.0154845467,-0.1789855024,-0.9999706113,-0.0189269074,0.0038831035,0.0082584604,right,open
2,0.5541952855,-0.2200976959,0.4019289817,-0.9684465963,-0.0006290798,0.0081275217,0.2490878114,0.6463494397,0.0168285589,-0.1786741965,-0.9684465963,0.0012314824,0.0081105449,0.0157131517,right,open
3,0.5290044662,-0.2075451252,0.1178157069,-0.9683296702,0.0029224958,0.0051035272,0.2496058151,0.6455759881,0.0132683737,-0.1786242443,-0.9683296702,-0.0206182651,0.0211974815,0.0129816076,right,open
4,0.529816228,-0.2081175167,0.1187379646,-0.7707564972,0.0041803198,0.0023534768,0.6371117705,0.6453267768,0.0124073097,-0.1783069431,-0.7707564972,-0.0211908087,0.0210603408,0.0130356603,right,open
5,0.528829694,-0.2072786629,0.1182285178,-0.7048587956,0.0041555376,0.0030951159,0.7093287179,0.6456825342,0.0130419988,-0.1784545541,-0.7048587956,-0.0201589893,0.0210722069,0.0134404097,right,open
6,0.527022237,0.1274719842,0.1219623386,-0.7039837307,-1.58595514227813E-05,0.0031763448,0.7102089956,0.5785733549,0.2988029843,0.1310401544,-0.7039837307,0.0196806225,0.0431286082,0.7166848102,right,open
7,0.5311590204,0.1255967222,0.1230478557,-0.5,0.5,0.5,0.4908367501,0.6355943754,0.3043982679,0.3792002942,-0.486299427,-0.0573484958,0.0362913805,0.3690353621,right,open
8,0.5189491798,0.1250818048,-0.1772217644,-0.5,0.5,0.5,0.5,0.6420671069,0.2504299639,0.4776264664,-0.4844840276,-0.609835555,0.0112328762,0.0018056651,right,open
9,0.489154,0.1250818048,-0.1772217644,-0.5,0.5,0.5,0.5,0.6420671069,0.2504299639,0.4776264664,-0.4844840276,-0.609835555,0.0112328762,0.0018056651,right,open
10,0.489154,0.179668,-0.1772217644,-0.5,0.5,0.5,0.5,0.6420671069,0.2504299639,0.4776264664,-0.4844840276,-0.609835555,0.0112328762,0.0018056651,right,open
11,0.456138,0.179668,-0.1772217644,-0.5,0.5,0.5,0.5,0.5199174138,0.1754883007,0.478478467,0.489273559,0.8705935198,-0.0414576202,0.030976982,right,open
11,0.456138,0.218812,-0.1772217644,-0.5,0.5,0.5,0.5,0.5199174138,0.1754883007,0.478478467,0.489273559,0.8705935198,-0.0414576202,0.030976982,right,open
11,0.456138,0.218812,-0.028988,-0.5,0.5,0.5,0.5,0.5199174138,0.1754883007,0.478478467,0.489273559,0.8705935198,-0.0414576202,0.030976982,right,w_r_c
